1,"{243: 'New thinking on the climate crisis', 547: 'The business logic of sustainability', 2093: 'The state of the climate — and what we might do about it', 54715: 'How we can turn the tide on climate', 29968: 'The most important thing you can do to fight climate change: talk about it', 2339: ""Climate change is happening. Here's how we adapt""}"
2,"{1561: 'Energy from floating algae pods', 1072: ""Using nature's genius in architecture"", 1184: 'Cooking as never seen before', 1406: 'Inventing is the easy part. Marketing takes work', 767: 'Innovating to zero!', 285: 'A mobile fridge for vaccines'}"
3,"{127: 'Want to help Africa? Do business here', 1929: 'We need money for aid. So let’s print it.', 584: 'New rules for rebuilding a broken nation', 270: 'The ""bottom billion""', 152: 'Aid versus trade', 1321: 'In defense of dialogue'}"
4,"{141: ""Inside the world's deepest caves"", 264: 'The astonishing hidden world of the deep ocean', 335: 'Our next giant leap', 1402: 'From mach-20 glider to hummingbird drone', 429: 'My dream of a flying car', 292: ""Stephen Hawking's zero g flight""}"
5,"{4: 'The real future of space exploration', 266: 'Designing objects that tell stories', 27: 'Organic design, inspired by nature', 1506: 'The future race car -- 150mph, and no driver', 1724: 'If cars could talk, accidents might be avoidable', 1109: ""Google's driverless car""}"
6,"{227: 'On the verge of creating synthetic life', 323: 'A family tree for humanity', 331: 'DNA folding, in detail', 437: 'Genomics 101', 863: 'Watch me unveil ""synthetic life""', 80: 'The life code that will reshape the future'}"
7,"{1725: '10 top time-saving tech tips', 2274: 'The first secret of design is ... noticing', 172: 'Designing for simplicity', 2664: 'Meet the inventor of the electronic spreadsheet', 2464: 'The mind behind Linux', 1347: 'The secret structure of great talks'}"
8,"{49: ""Behind the design of Seattle's library"", 359: 'The Blur Building and other tech-empowered architecture', 31: 'How architecture can connect us', 1182: 'Building a park in the sky', 121: 'The ghastly tragedy of the suburbs', 1846: 'Ingenious homes in unexpected places'}"
9,"{2: 'Simple designs to save a life', 54: 'My wish: A call for open-source architecture', 90: 'Unleash your creativity in a Fab Lab', 1174: 'A future beyond traffic gridlock', 1886: 'Why buses represent democracy in action', 1704: 'A skateboard, with a boost'}"
10,"{263: ""What's wrong with what we eat"", 348: ""What's wrong with school lunches"", 248: 'How the news distorts our worldview', 377: 'Healing through diet', 24361: 'What is obesity?', 2194: 'How childhood trauma affects health across a lifetime'}"
