id,topic
1,alternative energy
1,cars
1,climate change
1,culture
1,environment
1,global issues
1,science
1,sustainability
1,technology
2,MacArthur grant
2,alternative energy
2,design
2,engineering
2,global issues
2,industrial design
2,invention
2,simplicity
3,business
3,corruption
3,culture
3,economics
3,entrepreneur
3,global issues
3,investment
3,military
3,global development
3,poverty
3,politics
3,policy
4,NASA
4,aircraft
4,business
4,design
4,engineering
4,entrepreneur
4,flight
4,industrial design
4,invention
4,rocket science
5,business
5,cars
5,design
5,industrial design
5,invention
5,technology
5,transportation
5,art
6,DNA
6,biotech
6,entrepreneur
6,genetics
6,invention
6,oceans
6,science
6,technology
6,ecology
6,biology
6,biodiversity
7,computers
7,entertainment
7,interface design
7,media
7,music
7,performance
7,simplicity
7,software
7,technology
8,New York
8,architecture
8,cities
8,collaboration
8,culture
8,death
8,design
8,disaster relief
8,interview
8,memory
8,urban planning
9,business
9,cars
9,industrial design
9,innovation
9,invention
9,robots
9,science
9,social change
9,sustainability
9,technology
9,transportation
10,culture
10,disease
10,food
10,global issues
10,health
10,health care
10,obesity
10,science
11,Africa
11,animals
11,culture
11,environment
11,global issues
11,nature
11,primates
11,science
12,cancer
12,disease
12,health
12,science
12,technology
12,wunderkind
13,architecture
13,business
13,creativity
13,culture
13,design
13,interview
13,invention
14,art
14,entertainment
14,invention
14,music
14,performance
14,software
14,technology
16,cognitive science
16,culture
16,evolution
16,gender
16,love
16,psychology
16,relationships
16,science
18,DNA
18,animals
18,biology
18,biomimicry
18,design
18,environment
18,evolution
18,fish
18,science
18,technology
19,choice
19,culture
19,evolution
19,future
19,history
19,philosophy
19,science
19,technology
20,business
20,choice
20,consumerism
20,culture
20,economics
20,food
20,marketing
20,media
20,storytelling
21,business
21,communication
21,community
21,culture
21,design
21,entertainment
21,software
21,storytelling
22,culture
22,entertainment
22,faith
22,illusion
22,religion
22,science
23,activism
23,collaboration
23,culture
23,film
23,global issues
23,music
23,social change
23,storytelling
23,art
25,business
25,collaboration
25,culture
25,global issues
25,library
25,open-source
25,technology
26,culture
26,entertainment
26,love
26,performance
26,philosophy
26,poetry
27,DNA
27,biology
27,creativity
27,design
27,industrial design
27,invention
27,nature
27,product design
27,science and art
28,business
28,choice
28,culture
28,marketing
28,storytelling
29,business
29,cities
29,culture
29,economics
29,race
29,narcotics
30,business
30,cars
30,culture
30,economics
30,parenting
30,statistics
30,transportation
31,architecture
31,cities
31,culture
31,design
31,invention
32,Brazil
32,art
32,creativity
32,design
32,illusion
32,animation
33,culture
33,global issues
33,military
33,peace
33,technology
33,terrorism
33,war
34,activism
34,culture
34,design
34,film
34,global issues
34,photography
34,social change
34,storytelling
34,art
34,indigenous peoples
35,DNA
35,culture
35,genetics
35,history
35,invention
35,science
35,storytelling
35,technology
36,business
36,cities
36,culture
36,entrepreneur
36,future
36,global issues
36,social change
36,poverty
36,policy
36,global development
37,business
37,collaboration
37,culture
37,invention
37,media
37,open-source
37,technology
37,wikipedia
38,biotech
38,business
38,culture
38,future
38,invention
38,robots
38,science
38,technology
39,aging
39,biotech
39,disease
39,engineering
39,future
39,health care
39,science
39,technology
40,animals
40,art
40,design
40,evolution
40,fish
40,nature
40,photography
40,storytelling
40,global commons
41,children
41,design
41,education
41,entrepreneur
41,global issues
41,philanthropy
41,social change
41,technology
42,astronomy
42,climate change
42,complexity
42,cosmos
42,science
42,social change
42,technology
42,time
42,universe
43,business
43,design
43,industrial design
43,product design
44,biotech
44,culture
44,future
44,global issues
44,happiness
44,philosophy
44,technology
45,entertainment
45,music
45,performance
45,violin
45,wunderkind
45,youth
45,live music
46,creativity
46,entertainment
46,music
46,performance
46,piano
46,wunderkind
46,live music
47,climate change
47,cosmos
47,culture
47,environment
47,global issues
47,physics
47,science
47,technology
47,universe
48,MacArthur grant
48,collaboration
48,design
48,innovation
48,invention
48,materials
48,open-source
48,product design
48,technology
49,architecture
49,collaboration
49,culture
49,design
49,library
50,art
50,design
50,happiness
50,typography
50,graphic design
51,MacArthur grant
51,business
51,economics
51,energy
51,environment
51,green
51,science
51,technology
53,MacArthur grant
53,activism
53,business
53,cities
53,environment
53,green
53,inequality
53,politics
53,pollution
54,activism
54,architecture
54,collaboration
54,culture
54,design
54,disaster relief
54,global issues
54,invention
54,open-source
54,philanthropy
55,TED Prize
55,culture
55,entertainment
55,film
55,global issues
55,peace
55,social change
55,storytelling
55,art
55,movies
56,TED Prize
56,art
56,cities
56,culture
56,design
56,environment
56,photography
56,pollution
56,social change
57,TED Prize
57,business
57,disease
57,health care
57,invention
57,medicine
57,science
57,technology
58,TED Prize
58,collaboration
58,disease
58,ebola
58,global issues
58,health
58,science
58,technology
59,AIDS
59,Africa
59,activism
59,entertainment
59,global issues
59,philanthropy
59,poverty
59,social change
60,MacArthur grant
60,United States
60,culture
60,entertainment
60,history
60,interview
60,performance
60,performance art
60,race
60,sports
60,storytelling
60,theater
61,cities
61,culture
61,design
61,health
61,history
61,map
61,science
61,urban planning
61,disease
62,AIDS
62,Africa
62,business
62,choice
62,climate change
62,culture
62,disaster relief
62,economics
62,environment
62,future
63,business
63,collaboration
63,culture
63,economics
63,innovation
63,invention
63,media
63,open-source
63,product design
64,culture
64,entertainment
64,gender
64,global issues
64,happiness
64,performance
64,storytelling
64,theater
64,women
65,demo
65,design
65,interface design
65,technology
66,children
66,creativity
66,culture
66,dance
66,education
66,parenting
66,teaching
67,culture
67,genetics
67,science
67,statistics
67,technology
68,culture
68,global issues
68,war
68,collaboration
68,evolutionary psychology
69,anthropology
69,culture
69,environment
69,film
69,global issues
69,language
69,photography
69,indigenous peoples
70,business
70,culture
70,entertainment
70,happiness
70,psychology
70,success
70,work
71,Christianity
71,God
71,culture
71,happiness
71,leadership
71,motivation
71,philanthropy
71,religion
72,business
72,culture
72,economics
72,entertainment
72,marketing
72,technology
73,choice
73,culture
73,happiness
73,health
73,parenting
73,personal growth
73,potential
73,psychology
73,work-life balance
74,alternative energy
74,business
74,cities
74,collaboration
74,culture
74,design
74,environment
74,global issues
74,invention
74,sustainability
75,business
75,culture
75,global issues
75,investment
75,media
75,philanthropy
76,animals
76,apes
76,biology
76,culture
76,evolution
76,genetics
76,intelligence
76,language
77,biology
77,biomechanics
77,oceans
77,online video
77,science
77,technology
78,brain
78,cognitive science
78,culture
78,design
78,illusion
78,psychology
79,alternative energy
79,business
79,communication
79,culture
79,global issues
79,invention
79,investment
79,microfinance
79,poverty
79,technology
79,telecom
79,transportation
79,global development
80,DNA
80,biotech
80,business
80,culture
80,genetics
80,invention
80,science
80,technology
81,entertainment
81,live music
81,music
81,poetry
81,singer
81,performance
82,culture
82,demo
82,global issues
82,health care
82,invention
82,peace
82,prosthetics
82,science
82,technology
82,war
83,TED Prize
83,ants
83,biodiversity
83,biology
83,global issues
83,insects
83,nature
83,science
83,technology
83,ecology
84,activism
84,culture
84,global issues
84,media
84,photography
84,poverty
84,social change
84,storytelling
84,art
84,war
85,Africa
85,TED Prize
85,business
85,culture
85,economics
85,global issues
85,health care
85,technology
86,Christianity
86,God
86,atheism
86,comedy
86,culture
86,performance
86,religion
86,storytelling
86,humor
87,collaboration
87,comedy
87,community
87,culture
87,dance
87,demo
87,entertainment
87,software
87,performance
87,humor
89,climate change
89,culture
89,exploration
89,global issues
89,personal growth
89,potential
89,sports
89,technology
89,travel
90,computers
90,culture
90,engineering
90,invention
90,materials
90,science
90,social change
90,technology
90,education
90,code
91,business
91,culture
91,entrepreneur
91,investment
91,microfinance
91,philanthropy
91,poverty
91,global development
92,Africa
92,Asia
92,Google
92,demo
92,economics
92,global issues
92,health
92,statistics
92,global development
92,visualizations
92,math
93,business
93,choice
93,culture
93,decision-making
93,economics
93,happiness
93,personal growth
93,potential
93,psychology
94,God
94,atheism
94,brain
94,cognitive science
94,consciousness
94,evolution
94,philosophy
94,religion
97,brain
97,choice
97,culture
97,evolution
97,happiness
97,psychology
97,science
98,astronomy
98,biology
98,cognitive science
98,cosmos
98,evolution
98,physics
98,psychology
98,science
99,climate change
99,environment
99,guitar
99,music
99,performance
99,vocals
99,live music
101,cello
101,entertainment
101,music
101,performance
101,vocals
101,live music
102,brain
102,consciousness
102,culture
102,entertainment
102,illusion
102,self
102,visualizations
103,creativity
103,entertainment
103,live music
103,music
103,performance
104,architecture
104,business
104,china
104,cities
104,culture
104,design
104,environment
104,global issues
104,sustainability
104,technology
105,business
105,entrepreneur
105,history
105,innovation
105,invention
105,technology
105,web
105,electricity
108,entertainment
108,memory
108,performance
108,poetry
108,spoken word
108,storytelling
109,composing
109,entertainment
109,guitar
109,music
109,performance art
109,piano
109,potential
109,vocals
109,performance
109,live music
110,composing
110,entertainment
110,guitar
110,memory
110,music
110,performance
110,piano
110,live music
112,God
112,culture
112,disaster relief
112,global issues
112,natural disaster
112,philosophy
112,religion
113,God
113,atheism
113,culture
113,religion
113,science
114,comedy
114,culture
114,performance
114,humor
115,entertainment
115,live music
115,music
115,performance
116,culture
116,faith
116,meme
116,philosophy
116,religion
117,entertainment
117,history
117,music
117,performance
117,violin
117,live music
118,Google
118,business
118,collaboration
118,culture
118,design
118,technology
118,web
119,culture
119,entertainment
119,live music
119,music
119,performance
119,poetry
119,race
119,sports
121,alternative energy
121,architecture
121,cars
121,cities
121,consumerism
