talk_id,available_lang
1,43
2,27
3,25
4,29
5,25
6,21
7,26
8,18
9,19
10,48
11,31
12,26
13,23
14,22
16,35
18,24
19,26
20,37
21,21
22,43
23,24
25,27
26,34
27,24
28,32
29,25
30,26
31,16
32,23
33,19
34,29
35,28
36,22
37,34
38,23
39,30
40,30
41,26
42,29
43,24
44,24
45,32
46,32
47,29
48,22
49,19
50,27
51,23
53,35
54,27
55,20
56,23
57,20
58,26
59,24
60,19
61,29
62,33
63,25
64,25
65,27
66,62
67,21
68,23
69,36
70,72
71,31
72,24
73,34
74,32
75,22
76,29
77,20
78,31
79,22
80,20
81,29
82,32
83,28
84,24
85,26
86,31
87,27
89,26
90,18
91,27
92,49
93,45
94,33
97,45
98,37
99,39
101,27
102,31
103,32
104,27
105,23
108,26
109,25
110,28
112,23
113,42
114,16
115,34
116,32
117,31
118,31
119,23
121,23
122,19
123,45
125,29
126,22
127,32
128,20
129,35
130,31
131,31
139,26
140,35
141,25
142,33
143,22
144,24
145,22
146,19
147,28
148,34
149,39
151,22
152,21
153,45
154,21
155,21
156,27
157,26
158,21
159,30
161,32
162,32
163,33
164,32
165,28
167,22
168,28
170,23
171,19
172,24
174,23
175,30
176,19
177,22
178,34
179,45
181,29
182,22
183,28
184,35
185,21
187,27
188,22
189,26
190,24
191,40
192,24
193,21
194,29
195,21
196,31
197,29
198,22
199,44
200,34
201,42
202,41
203,28
204,38
205,31
206,47
207,21
208,26
209,19
210,22
211,26
212,23
213,25
214,26
215,19
216,24
217,27
218,25
219,22
220,30
221,25
222,23
223,20
224,26
225,32
227,24
228,29
229,49
230,18
231,19
232,22
233,32
234,29
235,41
236,39
237,27
239,37
241,35
242,42
243,44
245,36
246,21
247,24
248,49
249,19
250,34
251,36
252,54
253,38
254,17
255,19
258,29
259,18
260,18
261,34
263,30
264,23
266,27
267,24
268,21
269,24
270,24
271,19
272,34
273,21
274,24
276,61
278,24
279,33
280,20
282,39
285,52
286,46
287,40
288,18
292,33
294,28
296,24
297,25
298,25
299,21
300,19
301,39
306,24
307,34
308,27
310,28
312,36
313,44
315,25
316,24
318,19
319,27
320,22
321,29
322,39
323,23
324,29
325,28
326,30
327,21
328,25
329,19
330,19
331,21
333,28
334,31
335,22
339,17
340,26
341,31
343,26
344,22
345,19
346,24
347,23
348,26
349,54
350,17
351,25
353,20
354,29
355,20
356,37
358,21
359,17
360,28
361,31
362,21
363,19
364,36
365,30
366,34
371,24
372,20
374,27
375,23
377,22
379,21
381,32
383,50
385,21
386,20
388,22
390,20
391,28
392,26
393,24
394,26
395,20
396,23
399,21
400,30
402,17
403,18
404,28
405,23
406,25
407,44
408,38
409,21
410,19
411,29
412,29
413,21
414,26
416,25
418,33
419,34
420,31
421,21
422,20
423,30
424,19
426,20
427,20
428,21
429,20
430,19
431,21
432,25
433,22
434,22
435,18
436,21
437,21
439,18
440,24
441,23
442,22
443,30
445,22
447,22
450,23
451,35
453,50
455,20
457,29
462,37
463,23
464,27
466,30
467,31
468,26
469,23
470,36
471,22
472,24
473,32
474,30
475,25
476,22
477,26
480,30
481,44
482,42
483,30
484,28
485,36
487,36
488,37
489,20
490,43
492,30
494,36
495,21
498,29
499,27
500,20
501,33
502,25
503,20
504,27
506,28
507,21
509,40
510,24
511,41
512,25
515,19
516,25
517,28
518,35
519,22
520,20
521,25
523,33
524,25
525,33
526,21
527,21
529,22
531,40
532,29
533,19
534,21
535,47
537,22
538,32
540,40
544,29
545,24
547,25
548,46
549,38
551,41
552,46
553,45
554,48
555,40
556,30
557,32
558,22
560,28
561,30
562,17
563,35
565,39
566,34
570,23
571,24
572,55
573,28
575,30
578,30
580,28
582,38
584,28
585,27
586,32
587,65
588,42
589,24
590,20
591,34
592,34
594,33
598,23
599,25
601,31
602,34
603,27
604,27
605,47
606,20
607,27
608,25
610,21
613,32
614,29
615,24
618,44
619,27
620,34
621,25
622,27
623,27
625,20
626,32
627,20
628,22
629,23
630,33
633,32
634,30
635,30
637,39
639,31
640,25
641,29
642,45
643,25
644,24
645,26
646,22
647,31
648,23
649,29
650,31
651,25
652,49
653,35
654,32
655,20
657,34
658,32
659,28
660,33
661,21
662,24
663,34
664,35
665,29
666,27
667,28
669,36
670,25
673,30
674,37
675,20
676,47
677,27
679,22
680,29
681,39
682,31
683,37
684,29
685,42
686,32
688,23
689,23
691,20
692,21
694,24
695,36
696,22
698,27
700,23
701,28
702,22
704,33
705,24
706,19
708,23
709,22
710,34
712,28
713,25
714,40
715,26
716,29
717,23
718,30
719,33
723,26
724,41
726,22
727,32
728,24
729,32
734,33
735,36
736,50
738,20
741,34
743,25
744,33
748,34
750,22
751,27
752,42
755,70
757,23
759,21
760,20
761,23
762,24
763,26
765,50
766,28
767,38
768,29
769,33
770,23
771,24
772,23
773,37
776,31
777,25
779,39
780,22
783,24
785,36
786,28
787,22
788,33
789,31
790,31
791,26
792,33
796,20
797,19
799,34
800,26
801,39
802,32
803,37
804,26
805,35
807,28
809,32
811,42
814,66
815,58
818,32
819,22
820,26
821,28
823,22
824,32
826,38
828,31
830,27
831,24
833,24
835,38
836,28
837,34
838,33
842,23
843,24
844,26
845,22
846,37
847,28
848,48
849,27
850,25
851,26
852,31
853,25
854,22
855,33
856,42
859,39
860,49
861,22
862,31
863,25
865,58
866,30
868,32
869,27
871,23
872,24
873,27
874,28
876,34
877,33
878,32
879,23
880,30
881,28
883,30
884,35
885,36
886,22
887,34
888,31
889,34
891,25
892,29
893,44
894,32
896,30
898,22
899,22
900,35
901,49
909,29
910,29
911,32
912,47
914,29
915,34
916,26
917,34
918,45
919,25
920,27
921,34
922,28
924,37
925,18
926,19
927,28
928,31
929,24
930,32
932,24
934,25
935,34
936,27
937,31
938,28
939,22
940,24
941,37
944,36
945,25
946,29
947,60
948,29
949,43
950,23
951,26
952,27
954,23
955,31
957,40
958,28
959,33
960,30
961,33
962,21
963,32
964,35
965,36
966,33
967,28
968,26
970,31
971,29
972,28
973,22
974,33
975,57
976,30
977,31
978,27
980,23
981,31
983,35
984,29
986,33
987,39
988,35
991,23
992,25
993,36
994,24
995,34
996,30
997,36
998,29
1000,28
1001,28
1002,29
1003,24
1004,36
1005,26
1006,36
1007,32
1008,34
1009,24
1010,33
1011,24
1012,27
1013,30
1014,37
1015,26
1016,40
1017,37
1018,32
1019,31
1020,32
1030,28
1031,36
1032,37
1033,29
1034,37
1036,32
1037,29
1039,28
1040,47
1041,23
1042,52
1043,32
1044,57
1045,35
1046,28
1047,31
1048,36
1049,32
1050,38
1051,29
1052,31
1053,35
1054,27
1055,28
1056,26
1057,22
1058,30
1059,33
1060,27
1061,38
1062,20
1064,25
1065,30
1066,35
1067,32
1068,35
1069,41
1070,27
1071,35
1072,32
1073,31
1074,25
1075,45
1076,27
1077,26
1078,35
1079,31
1080,24
1081,30
1082,23
1083,37
1084,32
1085,38
1086,32
1087,35
1088,28
1089,29
1090,44
1091,41
1092,33
1093,30
1094,33
1095,30
1096,49
1098,29
1100,42
1101,47
1102,29
1103,28
