talk_id,occupations
1,climate advocate
2,inventor
2,engineer
3,president-elect of afghanistan
4,aircraft engineer
5,car designer
6,biologist
6,genetics pioneer
7,technology columnist
8,architect
8,experience designer
9,inventor
10,physician
10,author
11,primatologist
11,environmentalist
12,neuroscience and cancer researcher
13,architect
14,experimental audio-visual artist
16,anthropologist
16,expert on love
18,science writer
18,innovation consultant
18,conservationist
19,digital visionary
20,writer
21,blogger; cofounder
21,six apart
22,skeptic
23,musician
23,activist
25,education visionary
26,performance poet
26,multimedia artist
27,industrial designer
28,marketer and author
29,economist
30,economist
31,architect
32,artist
33,military strategist
34,photographer
35,biologist
35,nobel laureate
36,author
37,founder of wikipedia
38,inventor
38,futurist
39,crusader against aging
40,nature photographer
41,tech visionary
42,astrophysicist
43,designer; creative director
43,ideo
44,philosopher
45,violinist
46,pianist
46,composer
47,physicist
47,author
48,inventor
49,architect
50,graphic designer
51,physicist
51,energy guru
53,activist for environmental justice
54,co-founder
54,architecture for humanity
55,filmmaker
56,photographer
57,biomedical inventor
58,epidemiologist
58,philanthropist
59,musician
59,activist
60,actor
60,playwright
60,social critic
61,writer
62,global prioritizer
63,innovation consultant
64,playwright
64,activist
65,human-computer interface designer
66,author
66,educator
67,mathematician; statistician
68,journalist
68,philosopher
69,anthropologist
69,ethnobotanist
70,marketer
70,success analyst
71,pastor
71,author
72,drone maker
73,writer
73,thinker
73,activist
74,planetary futurist
75,nonprofit venture capitalist
76,primate authority
77,biologist
77,biomechanics researcher
78,master of visual illusions
79,founder
79,grameenphone
80,author
80,academic
80,futurist
81,singer
81,performance artist
82,inventor
83,biologist
84,photojournalist
85,activist
86,actor
86,comedian
86,playwright
87,web humorist
89,polar explorer
90,physicist
90,personal fab pioneer
91,investor and advocate for moral leadership
92,global health expert; data visionary
93,psychologist
94,philosopher
94,cognitive scientist
97,psychologist; happiness expert
98,evolutionary biologist
99,singer/songwriter
101,cellist; singer-songwriter
102,philosopher
102,cognitive scientist
103,musician
104,architect
105,online commerce pioneer
108,performance poet
108,multimedia artist
109,singer/songwriter
109,electronic music pioneer
110,singer/songwriter
110,electronic music pioneer
112,priest
113,evolutionary biologist
114,satirist
115,musician
115,electronic music pioneer
116,philosopher
116,cognitive scientist
117,fiddler
117,electronic music pioneer
