talk_id,related_talks
1,243
1,547
1,2093
1,54715
1,29968
1,2339
2,1561
2,1072
2,1184
2,1406
2,767
2,285
3,127
3,1929
3,584
3,270
3,152
3,1321
4,141
4,264
4,335
4,1402
4,429
4,292
5,4
5,266
5,27
5,1506
5,1724
5,1109
6,227
6,323
6,331
6,437
6,863
6,80
7,1725
7,2274
7,172
7,2664
7,2464
7,1347
8,49
8,359
8,31
8,1182
8,121
8,1846
9,2
9,54
9,90
9,1174
9,1886
9,1704
10,263
10,348
10,248
10,377
10,24361
10,2194
11,76
11,145
11,77
11,340
11,168
11,2307
12,2109
12,859
12,1498
12,1229
12,1343
12,3231
13,231
13,49
13,31
13,750
13,318
13,121
14,144
14,241
14,32
14,1571
14,606
14,1244
16,307
16,374
16,1669
16,2590
16,31375
16,2661
18,280
18,198
18,258
18,614
18,1072
18,1561
19,319
19,38
19,190
19,1131
19,1346
19,72
20,93
20,28
20,1831
20,1437
20,1706
20,2182
21,144
21,1282
21,1379
21,87
21,2302
21,46600
22,666
22,2178
22,333
22,426
22,1245
22,11327
23,75
23,170
23,84
23,171
23,713
23,615
25,1913
25,1531
25,1570
25,37
25,1377
25,1295
26,148
26,383
26,981
26,2061
26,26913
26,1693
27,2251
27,174
27,614
27,430
27,1015
27,2274
28,20
28,72
28,266
28,27622
28,2274
28,848
29,20
29,2247
29,1897
29,43333
29,2261
29,2299
30,29
30,67
30,22
30,1724
30,1506
30,1109
31,27
31,359
31,54
31,1854
31,589
31,750
32,162
32,267
32,78
32,210
32,436
32,1613
33,121
33,167
33,39
33,2515
33,2326
33,2513
34,2264
34,2141
34,1789
34,1009
34,713
34,23
35,83
35,194
35,147
35,1322
35,331
35,39689
36,643
36,1846
36,2128
36,57144
36,1920
36,1429
37,640
37,362
37,1295
37,1268
37,46600
37,2474
38,19
38,129
38,351
38,560
38,1346
38,72
39,252
39,142
39,12
39,515
39,44
39,727
40,69
40,324
40,147
40,573
40,440
40,49433
41,2043
41,255
41,1678
41,2182
41,66
41,865
42,167
42,68
42,365
42,876
42,468
42,23913
43,392
43,266
43,172
43,646
43,207
43,122
44,42
44,19
44,68
44,39
44,515
44,801
45,2273
45,2242
45,1156
45,1446
45,286
45,2764
46,2273
46,2100
46,1298
46,1446
46,2764
46,286
47,2237
47,701
47,1095
47,1386
47,50792
47,242
48,90
48,2
48,266
48,1707
48,843
48,1215
49,750
49,2092
49,2183
49,2220
49,2375
49,31821
50,356
50,182
50,172
50,1607
50,570
50,1159
51,192
51,193
51,128
51,940
51,1394
51,683
53,1041
53,1892
53,2078
53,2636
53,12571
53,3581
54,1749
54,2183
54,31
54,6496
54,9687
54,2532
55,2228
55,1476
55,800
55,2890
55,45233
55,2694
56,279
56,84
56,40
56,634
56,1236
56,1554
57,82
57,142
57,280
57,31377
57,24443
57,2555
58,1153
58,869
58,1905
58,62748
58,61301
58,61303
59,156
59,157
59,127
59,330
59,154
59,232
60,86
60,26
60,374
60,1378
60,347
60,527
61,58
61,2150
61,12346
61,1582
61,1865
61,1840
62,248
62,92
62,143
62,85
62,192
62,1746
63,216
63,247
63,274
63,1492
63,1855
63,255
64,217
64,751
64,1753
64,2175
64,2288
64,2394
65,685
65,872
65,1984
65,2410
65,1705
65,40636
66,865
66,1738
66,2276
66,2182
66,2341
66,9048
67,92
67,22
67,143
67,2004
67,408
67,571
68,163
68,42
68,341
68,801
68,1642
68,216
69,273
69,40
69,34
69,2141
69,1729
69,299
70,66
70,202
70,93
70,1384
70,2182
70,2341
71,94
71,676
71,2011
71,86
71,9125
71,2801
72,319
72,118
72,216
72,38
72,1375
72,19
73,93
73,263
73,201
73,1069
73,1580
73,1126
74,104
74,18
74,266
74,174
74,1207
74,9
75,91
75,170
75,23
75,983
75,803
75,1949
76,340
76,77
76,145
76,1102
76,2539
76,11
77,126
77,76
77,145
77,280
77,1959
77,195
78,32
78,22
78,310
78,50
78,1607
78,211
79,270
79,157
79,288
79,2114
79,2105
79,1599
80,227
80,35
80,331
80,6
80,437
80,863
81,158
81,110
81,117
81,946
81,42248
81,24072
82,142
82,195
82,171
82,819
82,1251
82,184
83,340
83,40
83,299
83,2833
83,1131
83,509
84,56
84,69
84,279
84,1651
84,1003
84,395
85,59
85,127
85,268
85,140
85,249
85,644
86,22
86,94
86,856
86,71
86,2801
86,31459
87,148
87,981
87,2049
87,2792
87,50574
87,396
89,2292
89,627
89,2255
89,1631
89,586
89,29160
90,2
90,48
90,288
90,1570
90,872
90,339
91,2213
91,154
91,127
91,157
91,644
91,847
92,2056
92,2296
92,620
92,2806
92,2560
92,1418
93,2023
93,924
93,2044
93,58010
93,10361
93,2799
94,71
94,2011
94,234
94,113
94,2643
94,9125
97,944
97,1880
97,2162
97,191
97,312
97,787
98,1276
98,1160
98,516
98,2862
98,15555
98,49223
99,222
99,119
99,1
99,1073
99,108
99,49163
101,117
101,109
101,218
101,849
101,413
101,2010
102,116
102,125
102,229
102,2045
102,1794
102,33799
103,286
103,246
103,218
103,660
103,2357
103,2351
104,74
104,359
104,174
104,1072
104,2128
104,56
105,319
105,118
105,362
105,619
105,566
105,26
108,148
108,2281
108,2049
108,981
108,2054
108,413
109,110
109,81
109,186
109,24238
109,2111
109,17238
110,109
110,101
110,117
110,22799
110,2010
110,981
112,234
112,308
112,71
112,673
112,676
112,52402
113,86
113,94
113,22
113,2643
113,9125
113,71
114,108
114,87
114,99
114,436
114,1989
114,172
115,108
115,87
115,99
115,22703
115,81
115,2345
116,69
116,269
116,358
116,1995
116,25751
116,145
117,45
117,296
117,138
117,2424
117,2814
117,2064
118,319
118,1109
118,1113
118,362
118,1091
118,1953
119,158
119,99
119,254
119,2151
119,40280
119,24260
121,123
121,36
121,33
121,1846
121,31
121,898
122,266
122,43
122,172
122,646
122,2039
122,207
123,36
123,121
123,213
123,1429
123,45466
123,1865
125,184
125,236
125,320
125,2495
125,23965
125,229
126,206
126,77
126,145
126,1373
126,973
126,24509
127,185
127,270
127,91
127,154
127,151
127,152
128,192
128,243
128,91
128,1850
128,547
128,565
129,147
129,245
129,131
129,2885
129,20089
129,54358
130,234
130,191
130,208
130,677
130,1074
130,674
131,129
131,245
131,224
131,172
131,2043
131,872
139,245
139,129
139,131
139,766
139,410
139,484
140,494
140,270
140,157
140,620
140,974
140,912
141,499
141,89
141,4
141,335
141,264
141,23955
142,1103
142,1274
142,2342
142,1845
142,744
142,1935
143,92
143,67
143,29
143,540
143,836
143,818
144,316
144,32
144,14
144,843
144,900
144,23913
145,83
145,77
145,76
145,1995
145,24091
145,25751
146,361
146,162
146,144
146,49735
146,936
146,1432
147,331
147,35
147,40
147,1187
147,23794
147,50959
148,22
148,374
148,87
148,2000
148,182
148,981
149,204
149,201
149,21
149,21753
149,1652
149,580
151,152
151,157
151,159
151,154
151,127
151,2113
152,91
152,159
152,270
152,127
152,151
152,330
153,156
153,299
153,2
153,1134
153,642
153,828
154,127
154,185
154,156
154,151
154,2113
154,1851
155,386
155,330
155,204
155,59
155,652
155,154
156,153
156,66
156,558
156,2113
156,1930
156,330
157,270
157,127
157,75
157,91
157,644
157,152
158,169
158,119
158,186
158,22799
158,12803
158,2345
159,152
159,157
159,151
159,127
159,1599
159,2213
161,69
161,194
161,148
161,2022
161,2158
161,23800
162,267
162,32
162,1164
162,345
162,2255
162,2663
163,68
163,29
163,140
163,1948
163,1342
163,55562
164,163
164,276
164,69
164,24328
164,1203
164,49002
165,195
165,146
165,147
165,355
165,26073
165,2825
167,163
167,68
167,42
167,23894
167,2491
167,306
168,323
168,315
168,69
168,340
168,35353
168,11
170,205
170,171
170,56
170,403
170,1114
170,2694
171,386
171,84
171,170
171,1999
171,2008
171,1209
172,2
172,845
172,7
172,436
172,288
172,1571
174,104
174,49
174,359
174,1854
174,31
174,2092
175,1678
175,66
175,949
175,892
175,809
175,423
176,4
176,5
176,264
176,379
176,723
176,1402
177,58
177,163
177,68
177,243
177,1153
177,62748
178,141
178,4
178,264
178,551
178,42247
178,2550
179,24
179,260
179,287
179,1156
179,2273
179,2147
181,20
181,28
181,118
181,880
181,211
181,1069
182,396
182,172
182,414
182,436
182,708
182,777
183,147
183,35
183,227
183,331
183,1322
183,2570
184,236
184,78
184,163
184,25133
184,1251
184,1860
185,156
185,157
185,127
185,46536
185,2065
185,19266
187,63
187,72
187,216
187,871
187,1329
187,1390
188,298
188,169
188,186
188,296
188,1325
188,1415
189,441
189,1894
189,1494
189,48103
189,605
189,2332
190,19
190,372
190,79
190,495
190,1518
190,439
191,130
191,308
191,234
191,312
191,97
191,15722
192,193
192,128
192,74
192,1988
192,1380
192,243
193,192
193,128
193,74
193,862
193,1394
193,940
194,35
194,253
194,47
194,251
194,670
194,371
195,280
195,165
195,18
195,2014
195,571
195,2170
196,7
196,129
196,131
196,1994
196,241
196,1500
197,50
197,27
197,396
197,207
197,1474
197,1471
198,258
198,18
198,321
198,909
198,232
198,1862
199,78
199,310
199,327
199,21700
199,61611
199,46591
200,68
200,163
200,209
200,441
200,130
200,675
201,73
201,349
201,144
201,1603
201,1983
201,838
202,66
202,233
202,70
202,815
202,2588
202,1687
203,148
203,87
203,70
203,443
203,24238
203,1986
204,53
204,217
204,250
204,1033
204,1918
204,1076
205,197
205,250
205,170
205,3625
205,50574
205,1479
206,77
206,343
206,40
206,17713
206,41764
206,830
207,372
207,266
207,31
207,431
207,646
207,1474
208,204
208,209
208,391
208,13585
208,2332
209,53
209,208
209,391
209,1530
209,1732
209,1010
210,32
210,78
210,22
210,826
210,1353
210,643
211,181
211,105
211,118
211,889
211,570
211,1607
212,213
212,63
212,216
212,1077
212,1174
212,1620
213,53
213,243
213,36
213,1429
213,1966
213,1886
214,263
214,258
214,198
214,1822
214,37225
214,416
215,182
215,250
215,50
215,436
215,489
215,23772
216,274
216,1119
216,1037
216,996
216,799
216,936
217,64
217,22704
217,1513
217,1078
217,1076
217,1136
218,103
218,117
218,322
218,329
218,1808
218,23936
219,49
219,31
219,359
219,231
219,20259
219,51070
220,156
220,185
220,155
220,2152
220,1773
220,1789
221,4
221,141
221,239
221,2259
221,1280
221,426
222,86
222,99
222,148
222,1379
222,1224
222,2010
223,179
223,310
223,260
223,37800
223,1580
223,1456
224,178
224,129
224,147
224,23716
224,2069
224,23913
225,14615
225,50982
225,2259
225,4
225,2804
225,31849
227,193
227,280
227,259
227,863
227,6
227,437
228,41
228,266
228,237
228,1007
228,855
228,230
229,10362
229,8419
229,2495
229,125
229,2817
229,46597
230,288
230,19
230,38
230,2043
230,872
230,339
231,13
231,49
231,31
231,219
231,750
231,1147
232,156
232,59
232,233
232,154
232,151
232,6669
233,66
233,202
233,232
233,1034
233,1734
233,1913
234,130
234,91
234,341
234,2011
234,647
234,1327
235,400
235,32
235,267
235,1588
235,296
235,1325
236,184
236,320
236,125
236,2077
236,1671
236,2244
237,66
237,90
237,199
237,23801
237,23976
237,23807
239,4
239,178
239,404
239,23955
239,2650
239,344
241,144
241,14
241,356
241,196
241,2345
241,1912
242,47
242,253
242,98
242,1386
242,23422
242,33931
243,128
243,192
243,74
243,1380
243,535
243,2784
245,129
245,131
245,361
245,48847
245,49735
245,685
246,103
246,286
246,218
246,1526
246,1440
246,883
247,63
247,216
247,274
247,1656
247,1938
247,410
248,92
248,75
248,279
248,24078
248,45837
248,916
249,85
249,268
249,156
249,1711
249,24922
249,2076
250,204
250,182
250,396
250,1126
250,1983
250,917
251,253
251,326
251,371
251,2396
251,1853
251,194
252,377
252,39
252,142
252,1274
252,1267
252,1648
253,251
253,326
253,371
253,23862
253,1853
253,27790
254,374
254,119
254,287
254,416
254,2249
254,1522
255,288
255,79
255,59
255,892
255,63
255,1617
258,214
258,198
258,18
258,948
258,1247
258,44494
259,499
259,331
259,261
259,1819
259,24006
259,1641
260,162
260,267
260,24
260,230
260,246
260,23936
261,259
261,258
261,162
261,9951
261,7060
261,2243
263,348
263,214
263,10
263,1565
263,1304
263,650
264,178
264,89
264,141
264,926
264,343
264,23912
266,27
266,49
266,5
266,431
266,207
266,372
267,162
267,32
267,144
267,877
267,278
267,2548
268,185
268,156
268,220
268,249
268,1421
268,709
269,19
269,102
269,214
269,116
269,351
269,1346
270,157
270,140
270,127
270,3
270,584
270,1765
271,237
271,203
271,181
271,428
271,1352
271,1163
272,163
272,97
272,68
272,13585
272,2537
272,2207
273,69
273,40
273,34
273,1081
273,363
273,1076
274,63
274,216
274,247
274,1532
274,1451
274,1085
276,161
276,164
276,194
276,2359
276,1889
276,1203
278,319
278,35
278,230
278,1517
278,2787
278,2548
279,56
279,69
279,248
279,55058
279,38913
279,2112
280,82
280,165
280,18
280,195
280,2014
280,571
282,73
282,201
282,349
282,403
282,1476
282,170
285,82
285,74
285,18
285,767
285,2
285,426
286,103
286,45
286,46
286,28953
286,21804
286,1440
287,325
287,296
287,119
287,80
287,1509
287,30303
288,230
288,266
288,228
288,2043
288,172
288,255
292,242
292,178
292,4
292,1402
292,429
292,335
294,155
294,64
294,204
294,1136
294,562
294,1013
296,287
296,325
296,117
296,188
296,1325
296,1162
297,34
297,279
297,324
297,1789
297,2282
297,1369
298,188
298,119
298,265
298,23927
298,1013
298,1209
299,209
299,53
299,153
299,1874
299,2075
299,2546
300,280
300,162
300,18
300,469
300,996
300,361
301,86
301,374
301,148
301,308
301,2011
301,919
306,141
306,404
306,42
306,178
306,876
306,42247
307,16
307,97
307,155
307,2590
307,2661
307,2330
308,71
308,112
308,130
308,301
308,1891
308,1772
310,44912
310,1821
310,2332
310,1479
310,2792
310,1347
312,97
312,93
312,16
312,191
312,2861
312,787
313,127
313,64
313,204
313,1692
313,971
313,1122
315,168
315,323
315,69
315,35353
315,340
315,607
316,144
316,162
316,14
316,2160
316,29159
316,2765
318,49
318,8
318,31
318,750
318,13
318,589
319,19
319,362
319,216
319,2061
319,1581
319,783
320,125
320,184
320,229
320,49129
320,1879
320,967
321,162
321,267
321,198
321,1519
321,23722
321,1431
322,321
322,138
322,218
322,23722
322,1431
322,1173
323,69
323,331
323,168
323,1213
323,315
323,1751
324,40
324,69
324,273
324,2517
324,1353
324,54358
325,296
325,287
325,119
325,2031
325,328
325,24167
326,47
326,253
326,42
326,1936
326,404
326,20753
327,310
327,78
327,22
327,2206
327,24048
327,1602
328,2031
328,2066
328,325
328,24167
328,37122
328,23841
329,286
329,246
329,14
329,1808
329,218
329,23936
330,127
330,185
330,156
330,59
330,232
330,152
331,147
331,35
331,227
331,183
331,1322
331,2570
333,22
333,78
333,143
333,1827
333,1580
333,2032
334,206
334,76
334,77
334,2770
334,31630
334,477
335,4
335,178
335,141
335,1835
335,292
335,1488
339,19
339,362
339,72
339,2043
339,1152
339,230
340,76
340,145
340,126
340,11
340,168
340,315
341,68
341,163
341,97
341,2669
341,2625
341,2716
343,40
343,77
343,261
343,264
343,1387
343,1372
344,167
344,33
344,54
344,2650
344,52463
344,881
345,69
345,324
345,273
345,2455
345,31814
345,8787
346,319
346,339
346,216
346,24414
346,57918
346,27750
347,60
347,26
347,86
347,1048
347,30
347,1715
348,263
348,214
348,406
348,2659
348,1530
348,765
349,73
349,201
349,70
349,1136
349,1675
349,1974
350,280
350,146
350,288
350,1743
350,428
350,271
351,125
351,320
351,229
351,515
351,44
351,1580
353,70
353,28
353,72
353,2182
353,27622
353,848
354,163
354,97
354,68
354,1653
354,455
354,1198
355,195
355,165
355,162
355,1709
355,1070
355,1376
356,172
356,197
356,182
356,50
356,649
356,501
358,234
358,116
358,19
358,1189
358,1155
358,1595
359,49
359,31
359,219
359,750
359,231
359,1147
360,84
360,381
360,171
360,44879
360,826
360,324
361,146
361,205
361,241
361,1618
361,996
361,799
362,319
362,216
362,72
362,1091
362,2061
362,783
363,208
363,204
363,60
363,708
363,1983
363,562
364,103
364,14
364,218
364,2147
364,2273
364,179
365,42
365,69
365,68
365,1877
365,1374
365,945
366,97
366,312
366,66
366,1094
366,1856
366,44
371,253
371,47
371,326
371,2654
371,27790
371,2396
372,207
372,27
372,172
372,646
372,1977
372,1474
374,87
374,86
374,148
374,1048
374,1650
374,785
375,16
375,396
375,197
375,1613
375,436
375,400
377,39
377,263
377,73
377,10
377,24361
377,25103
379,74
379,128
379,18
379,176
379,723
379,492
381,84
381,279
381,56
381,963
381,962
381,41873
383,26
383,119
383,81
383,751
